names,details,standard_price,sale_price,promo
Rejuvenating Night Cream 50ml,"Omorovicza's Rejuvenating Night Cream is a rich, buttery formula designed to restore, heal and hydrate skin while you sleep.",£115.00,,
Cleansing Foam 150ml,"This delicately scented Omorovicza cleansing foam swiftly purifies and refreshes the skin, morning or evening.",£52.00,,
Deep Cleansing Mask 50ml,"Omorovicza's Deep Cleansing Mask offers far more than the usual deep cleansing treatment, formulated with white clay to detoxify and brighten oily, congested skin.",£68.00,,
Queen Of Hungary Mist 100ml,Queen Of Hungary Mist from the Omorovicza collection.,£55.00,,
Daily Vitamin C 30ml,"Offering a brightening boost for dull skin, Omorovicza's Daily Vitamin C harnesses the power of this antioxidant-rich vitamin to provide essential daily protection for your complexion.",£87.00,,
Ultramoor Mud Mask 50ml,"Omorovicza's Ultramoor Mud Mask is a nutrient-rich anti-ageing flash mask designed to brighten and lift tired, dull skin.",£68.00,,
Illuminating Moisturiser 50ml,Illuminating Moisturiser from the Omorovicza collection.,£87.00,,
Complexion Perfector SPF 20 BB Cream,"Streamline your morning beauty routine with Omorovicza's Complexion Perfector BB Cream, rolling supreme skincare and second-skin makeup into one.",£60.00,,
Intensive Hydra-Lifting Cream,Intensive Hydra-Lifting Cream from the Omorovicza collection.,£132.00,,
The Cure 9 x 3ml,"The Cure is Omorovicza's intensive nine-day ampule programme to renew and reset tired, stressed skin.",£195.00,,
Essentials Kit,Essentials Kit from the Omorovicza collection. Perfect for travelling or simply discovering something new.,£95.00,,
Miracle Facial Oil 30ml,The Ormorovicza Miracle Face oil is an amazing facial oil that replenishes like a rich cream and yet is absorbed like a serum.,£82.00,,
The Great Escape Set,Embark upon your next adventure fully equipped for perfect skin with The Great Escape Set from Omorovicza.,£80.00,,
Scalp Reviver,Omorovicza's Scalp Reviver is an innovative scalp treatment designed to refresh and restore the scalp in between washes.,£65.00,,
Gold Eye Lift 15ml,"This nourishing, anti-aging, Omorovicza gold eye cream reduces the appearance and depth of fine lines and wrinkles and renews elasticity.",£120.00,,
Gold Night Drops 30ml,Gold Night Drops 30ml from the Omorovicza collection.,£165.00,,
Omoressence 100ml,"Applied immediately after cleansing, this balancing and hydrating Omorovicza essence prepares the skin for further treatment by helping it to attract and retain moisture.",£65.00,,
Instant Perfection Serum 30ml,"The crystal clear, oil-free Instant Perfection Serum by Omorovicza is a must for those who prefer to opt out of oils and thick creams.",£87.00,,
Mineral UV Shield SPF30 100ml,An effective shield from the sun's UV rays is a timeless summer staple for the toiletry collection.,£75.00,,
Gold Sugar Scrub 200ml,"An everyday body product with a touch of golden decadence, this Omorvicza scrub uses fair-trade cane sugar to refine the texture of the skin by eliminating dead skin cells.",£59.00,,
